bodytype,seats,kms,modelYear,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,Gearbox,Mileage,DriveType,city,model
Hatchback,5,52204,2017,Petrol,1,Manual,385000,Third Party,998,Maruti,5,24.39,FWD,Bangalore,Maruti Alto K10
Hatchback,5,110000,2012,Petrol,3,Manual,300000,Third Party,1197,Hyundai,5,17.0,FWD,Bangalore,Hyundai i20
SUV,7,89000,2017,Diesel,1,Automatic,2975000,Third Party,3198,Ford,6,10.91,4WD,Bangalore,Ford Endeavour
Hatchback,5,29813,2014,Petrol,2,Manual,276000,Comprehensive,796,Maruti,5,22.05,FWD,Bangalore,Maruti Alto 800
Hatchback,5,30000,2018,Petrol,1,Manual,500000,Third Party,1196,Ford,5,18.16,FWD,Bangalore,Ford Figo
Hatchback,5,13345,2020,Petrol,1,Automatic,730000,Comprehensive,1197,Maruti,5,20.89,FWD,Bangalore,Maruti Ignis
SUV,7,17100,2022,Diesel,1,Automatic,2245000,Comprehensive,1498,Hyundai,6,18.1,FWD,Bangalore,Hyundai Alcazar
Hatchback,5,75000,2014,Petrol,1,Manual,399000,Comprehensive,1197,Hyundai,5,18.9,FWD,Bangalore,Hyundai Grand i10
Hatchback,5,75523,2011,Petrol,2,Manual,312000,Comprehensive,1197,Hyundai,5,20.36,FWD,Bangalore,Hyundai i10
SUV,7,47000,2015,Diesel,1,Manual,1275000,Comprehensive,2179,Mahindra,6,16.0,FWD,Bangalore,Mahindra XUV500
SUV,5,36500,2022,Diesel,1,Manual,1989999,Comprehensive,1956,Tata,6,16.35,FWD,Bangalore,Tata Harrier
MUV,7,28253,2020,Petrol,1,Manual,719000,Comprehensive,999,Renault,5,20.0,FWD,Bangalore,Renault Triber
SUV,5,50000,2016,Diesel,1,Manual,1260000,Third Party,1582,Hyundai,6,19.67,FWD,Bangalore,Hyundai Creta
Hatchback,5,90000,2010,Petrol,2,Manual,300000,Third Party,1197,Hyundai,5,20.36,FWD,Bangalore,Hyundai i10
SUV,5,70000,2016,Diesel,2,Automatic,3981000,Third Party,2993,BMW,8,15.97,4WD,Bangalore,BMW X5
Hatchback,5,52571,2016,Petrol,1,Manual,627000,Comprehensive,1197,Hyundai,5,18.6,FWD,Bangalore,Hyundai i20
Sedan,5,70000,2010,Diesel,2,Automatic,1300000,Third Party,1995,BMW,6,16.07,FWD,Bangalore,BMW 3 Series
Sedan,5,61993,2015,Petrol,1,Manual,672000,Comprehensive,1497,Honda,5,17.4,FWD,Bangalore,Honda City
SUV,5,57000,2017,Diesel,1,Automatic,1825000,Comprehensive,1995,Hyundai,6,16.38,RWD,Bangalore,Hyundai Tucson
SUV,7,80000,2021,Diesel,2,Manual,3500000,Third Party,2755,Toyota,6,14.24,RWD,Bangalore,Toyota Fortuner
Hatchback,5,36359,2013,Petrol,1,Manual,440000,Comprehensive,1197,Hyundai,5,18.5,FWD,Bangalore,Hyundai i20
SUV,5,70000,2019,Diesel,2,Manual,1460000,Third Party,1956,Tata,6,17.0,FWD,Bangalore,Tata Harrier
SUV,5,7500,2022,Petrol,1,Automatic,2041000,Comprehensive,1451,MG,8,18.9,FWD,Bangalore,MG Hector
Sedan,5,30301,2017,Petrol,1,Automatic,1033000,Comprehensive,1591,Hyundai,6,17.0,FWD,Bangalore,Hyundai Verna
Hatchback,5,66000,2010,Petrol,1,Manual,275000,Comprehensive,1197,Hyundai,5,20.36,FWD,Bangalore,Hyundai i10
Hatchback,5,56010,2017,Petrol,1,Manual,676000,Comprehensive,1197,Hyundai,5,18.6,FWD,Bangalore,Hyundai i20
SUV,5,47000,2017,Diesel,1,Automatic,4290000,Comprehensive,2143,Mercedes-Benz,9,17.9,AWD,Bangalore,Mercedes-Benz GLC
SUV,5,60000,2014,Diesel,2,Manual,650000,Third Party,1461,Nissan,6,19.01,FWD,Bangalore,Nissan Terrano
Hatchback,5,83829,2014,Diesel,1,Manual,444000,Third Party,1248,Maruti,5,25.2,FWD,Bangalore,Maruti Swift
Hatchback,5,10000,2020,Petrol,1,Automatic,509999,Third Party,999,Renault,5,22.0,FWD,Bangalore,Renault KWID
SUV,5,35000,2016,Diesel,2,Automatic,925000,Comprehensive,1461,Renault,6,19.6,FWD,Bangalore,Renault Duster
Sedan,5,51116,2019,Petrol,2,Automatic,1024000,Comprehensive,1497,Honda,5,18.0,FWD,Bangalore,Honda City
Sedan,5,80000,2016,Diesel,3,Manual,500000,Third Party,1498,Skoda,5,21.14,FWD,Bangalore,Skoda Rapid
Hatchback,5,40000,2017,Petrol,2,Automatic,994999,Third Party,1197,Volkswagen,7,17.21,FWD,Bangalore,Volkswagen Polo
SUV,5,85565,2012,Petrol,2,Automatic,935000,Comprehensive,2354,Honda,5,11.1,AWD,Bangalore,Honda CR-V
SUV,5,36916,2018,Petrol,1,Manual,834000,Comprehensive,1497,Ford,5,17.0,FWD,Bangalore,Ford Ecosport
Hatchback,5,90000,2015,Diesel,1,Manual,560000,Third Party,1498,Volkswagen,5,20.14,FWD,Bangalore,Volkswagen Polo
Hatchback,5,112795,2012,Petrol,1,Manual,454000,Comprehensive,1197,Maruti,5,22.38,FWD,Bangalore,Maruti Swift
Sedan,5,11000,2021,Petrol,1,Automatic,3690000,Comprehensive,1332,Mercedes-Benz,7,18.9,FWD,Bangalore,Mercedes-Benz A-Class Limousine
MUV,7,120000,2014,Petrol,2,Manual,1100000,Third Party,1998,Toyota,5,11.4,RWD,Bangalore,Toyota Innova
Hatchback,5,36685,2016,Petrol,2,Manual,462000,Comprehensive,1198,Honda,5,19.4,FWD,Bangalore,Honda Brio
SUV,7,120000,2012,Diesel,2,Automatic,900000,Third Party,2199,Hyundai,6,11.72,AWD,Bangalore,Hyundai Santa Fe
Sedan,4,4000,2022,Petrol,1,Automatic,7900000,Comprehensive,1998,BMW,8,13.32,FWD,Bangalore,BMW 6 Series
Hatchback,5,32184,2019,Petrol,2,Automatic,843000,Third Party,1197,Maruti,5,21.4,FWD,Bangalore,Maruti Baleno
Hatchback,5,32279,2018,Petrol,1,Manual,799000,Comprehensive,998,Maruti,5,21.1,FWD,Bangalore,Maruti Baleno RS
Hatchback,5,59698,2015,Petrol,1,Manual,576000,Comprehensive,1197,Hyundai,5,18.6,FWD,Bangalore,Hyundai i20
SUV,5,46071,2018,Diesel,1,Manual,949000,Comprehensive,1461,Renault,6,20.37,FWD,Bangalore,Renault Captur
SUV,5,90000,2017,Diesel,1,Manual,795000,Third Party,1248,Maruti,5,24.3,FWD,Bangalore,Maruti Vitara Brezza
